contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,T,impliedVolatilityNoAssumptions,moneyness
MSFT250627C00230000,2025-06-20 19:52:48+00:00,230.0,247.79,260.45,264.3,0.0,0.0,1.0,1.0,3.1250021875,True,REGULAR,USD,2025-06-27,2.0,11424.210673276453,0.4672232822090891
MSFT250627C00275000,2025-05-30 18:58:21+00:00,275.0,185.54,215.5,219.4,0.0,0.0,1.0,1.0,2.5839879150390628,True,REGULAR,USD,2025-06-27,2.0,0.0034242884354050984,0.5586365330760847
MSFT250627C00300000,2025-06-25 15:19:22+00:00,300.0,193.2,190.8,194.5,12.660004,7.0122986,6.0,21.0,2.4492226269531248,True,REGULAR,USD,2025-06-27,2.0,0.39761577168046647,0.6094216724466379
MSFT250627C00320000,2025-06-25 17:51:17+00:00,320.0,171.01,170.5,174.55,11.459991,7.182696,2.0,1.0,2.0488330029296877,True,REGULAR,USD,2025-06-27,2.0,-411.65634524568867,0.6500497839430804
MSFT250627C00330000,2025-05-20 18:31:04+00:00,330.0,127.23,149.35,151.85,0.0,0.0,,3.0,1.0000000000000003e-05,True,REGULAR,USD,2025-06-27,2.0,-1.911113481108321e+19,0.6703638396913018
MSFT250627C00345000,2025-06-25 14:33:08+00:00,345.0,148.6,145.5,149.55,21.76001,17.15548,2.0,6.0,1.724610751953125,True,REGULAR,USD,2025-06-27,2.0,1.5873664320766815e+45,0.7008349233136336
MSFT250627C00350000,2025-06-25 17:55:37+00:00,350.0,140.86,140.75,144.55,7.800003,5.8620195,100.0,1.0,1.7568371533203124,True,REGULAR,USD,2025-06-27,2.0,-74172833.3599062,0.7109919511877443
MSFT250627C00355000,2025-06-25 17:57:31+00:00,355.0,135.6,135.75,139.55,18.15001,15.453393,94.0,5.0,1.6923843505859377,True,REGULAR,USD,2025-06-27,2.0,-59897616182.93649,0.7211489790618549
MSFT250627C00360000,2025-06-20 16:23:56+00:00,360.0,119.98,130.8,134.55,0.0,0.0,7.0,12.0,1.6435564697265623,True,REGULAR,USD,2025-06-27,2.0,1167.6086236716446,0.7313060069359655
MSFT250627C00365000,2025-06-24 14:40:05+00:00,365.0,123.6,125.55,129.55,0.0,0.0,4.0,7.0,1.4980493847656249,True,REGULAR,USD,2025-06-27,2.0,-1.1505269148986918e+90,0.7414630348100761
